Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Orduz, R; Solorzano, J; Egido, MA; Roman, E",,,,"Orduz, Ricardo; Solorzano, Jorge; Angel Egido, Miguel; Roman, Eduardo",,,Analytical study and evaluation results of power optimizers for distributed power conditioning in photovoltaic arrays,PROGRESS IN PHOTOVOLTAICS,,,,,,,,,,,,,,,,"Egido, Miguel A/A-9537-2008; Egido, J. Luis/F-4921-2017","Egido, J. Luis/0000-0002-8292-6127; ROMAN, Eduardo/0000-0003-4599-5139; EGIDO AGUILERA, MIGUEL ANGEL/0000-0002-5346-607X",,,,,,,,,,,,1062-7995,1099-159X,,,,MAY,2013,21,3,,,,,359,373,,10.1002/pip.1188,,,,,,,WOS:000318117300011,,,,,,
J,"Ramirez-Faz, J; Lopez-Luque, R; Casares, FJ",,,,"Ramirez-Faz, J.; Lopez-Luque, R.; Casares, F. J.",,,Development of synthetic hemispheric projections suitable for assessing the sky view factor on vertical planes,RENEWABLE ENERGY,,,,,,,,,,,,,,,,"Faz, JosA© RamArez/AAB-1266-2021; Lopez-Luque, Rafael/AAG-8491-2019","Faz, JosA© RamArez/0000-0002-6529-0649; Casares de la Torre, Francisco/0000-0002-8768-1499; Lopez Luque, Rafael/0000-0003-1963-0523",,,,,,,,,,,,0960-1481,,,,,FEB,2015,74,,,,,,279,286,,10.1016/j.renene.2014.08.025,,,,,,,WOS:000345947700031,,,,,,
J,"Kasezawa, T; Horimai, H; Tabuchi, H; Shimura, T",,,,"Kasezawa, Toshihiro; Horimai, Hideyoshi; Tabuchi, Hiroshi; Shimura, Tsutomu",,,Holographic window for solar power generation,OPTICAL REVIEW,,,,,9th International Workshop on Holography and Related Technologies (IWH),2015,"Okinawa, JAPAN","Utsunomiya Univ, Ctr Opt Res & Educ, Opt Soc Japan",,,,,,,,,,,,,,,,,,,,,1340-6000,1349-9432,,,,DEC,2016,23,6,,,,,997,1003,,10.1007/s10043-016-0257-z,,,,,,,WOS:000393109800013,,,,,,
J,"Yin, LL; Jiang, Y; Qiu, R",,,,"Yin, Lulu; Jiang, Yong; Qiu, Rong",,,Combustion Behaviors of CIGS Thin-Film Solar Modules from Cone Calorimeter Tests,MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-1944,,,,,AUG,2018,11,8,,,,,,,1353,10.3390/ma11081353,,,,,,,WOS:000444112800090,30081550,,,,,
J,"Muhammad-Sukki, F; Ramirez-Iniguez, R; Mcmeekin, SG; Stewart, BG; Clive, B",,,,"Muhammad-Sukki, Firdaus; Ramirez-Iniguez, Roberto; Mcmeekin, Scott G.; Stewart, Brian G.; Clive, Barry",,,SOLAR CONCENTRATORS IN MALAYSIA: TOWARDS THE DEVELOPMENT OF LOW COST SOLAR PHOTOVOLTAIC SYSTEMS,JURNAL TEKNOLOGI,,,,,,,,,,,,,,,,"Sukki, Firdaus Muhammad/I-7442-2012","Sukki, Firdaus Muhammad/0000-0002-5415-2259",,,,,,,,,,,,0127-9696,2180-3722,,,,MAY,2011,55,,,,,,,,,,,,,,,,WOS:000218421400005,,,,,,
J,"Li, Q; Wolfs, P",,,,"Li, Quan; Wolfs, Peter",,,A review of the single phase photovoltaic module integrated converter topologies with three different dc link configurations,IEEE TRANSACTIONS ON POWER ELECTRONICS,,,,,,,,,,,,,,,,"Wolfs, Peter/U-9317-2019","Wolfs, Peter/0000-0001-7048-1231",,,,,,,,,,,,0885-8993,1941-0107,,,,MAY,2008,23,3,,,,,1320,1333,,10.1109/TPEL.2008.920883,,,,,,,WOS:000258766000029,,,,,,
J,"Park, J; Hengevoss, D; Wittkopf, S",,,,"Park, Jeeyoung; Hengevoss, Dirk; Wittkopf, Stephen",,,Industrial Data-Based Life Cycle Assessment of Architecturally Integrated Glass-Glass Photovoltaics,BUILDINGS,,,,,,,,,,,,,,,,"Wittkopf, Stephen/B-7530-2014","Wittkopf, Stephen/0000-0001-7754-1030",,,,,,,,,,,,,2075-5309,,,,JAN,2019,9,1,,,,,,,8,10.3390/buildings9010008,,,,,,,WOS:000457157700008,,,,,,
J,"Ke, W; Ji, J; Xu, LJ; Yu, BD; Tian, XY; Wang, J",,,,"Ke, Wei; Ji, Jie; Xu, Lijie; Yu, Bendong; Tian, Xinyi; Wang, Jun",,,Numerical study and experimental validation of a multi-functional dual-air-channel solar wall system with PCM,ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0360-5442,1873-6785,,,,JUL 15,2021,227,,,,,,,,120434,10.1016/j.energy.2021.120434,,,,,,,WOS:000652608500014,,,,,,
J,"Qiu, CY; Yang, HX",,,,"Qiu, Changyu; Yang, Hongxing",,,Daylighting and overall energy performance of a novel semi-transparent photovoltaic vacuum glazing in different climate zones,APPLIED ENERGY,,,,,,,,,,,,,,,,"Yang, Hongxing/E-5737-2014","Yang, Hongxing/0000-0001-5117-5394",,,,,,,,,,,,0306-2619,1872-9118,,,,OCT 15,2020,276,,,,,,,,115414,10.1016/j.apenergy.2020.115414,,,,,,,WOS:000571786800002,,,,,,
J,"Vasiliev, M; Alghamedi, R; Nur-E-Alam, M; Alameh, K",,,,"Vasiliev, Mikhail; Alghamedi, Ramzy; Nur-E-Alam, Mohammad; Alameh, Kamal",,,Photonic microstructures for energy-generating clear glass and net-zero energy buildings,SCIENTIFIC REPORTS,,,,,,,,,,,,,,,,"Nur-E-Alam, Mohammad/C-6062-2009; Vasiliev, Mikhail/C-6049-2009","Vasiliev, Mikhail/0000-0001-7669-1782; Alghamedi, Ramzy/0000-0002-6441-8890; Nur E Alam, Mohammad/0000-0003-1969-3348; alameh, kamal/0000-0001-5260-0137",,,,,,,,,,,,2045-2322,,,,,AUG 23,2016,6,,,,,,,,31831,10.1038/srep31831,,,,,,,WOS:000381767400001,27550827,,,,,
J,"Bosio, A; Menossi, D; Rosa, G; Romeo, N",,,,"Bosio, A.; Menossi, D.; Rosa, G.; Romeo, N.",,,Key developments in CIGS thin film solar cells on ceramic substrates,CRYSTAL RESEARCH AND TECHNOLOGY,,,,,Italian Crystal Growth Conference (ICG),"NOV 14-15, 2013","Parma, ITALY",,,,,,,,,"Bosio, Alessio/AAX-2815-2020","romeo, nicola/0000-0001-8771-3166",,,,,,,,,,,,0232-1300,1521-4079,,,,AUG,2014,49,8,,,,,620,627,,10.1002/crat.201300408,,,,,,,WOS:000340539100016,,,,,,
J,"Zhu, YY; Shu, L; Fan, ZY",,,,"Zhu, Yiyi; Shu, Lei; Fan, Zhiyong",,,Recent Progress on Semi-transparent Perovskite Solar Cell for Building-integrated Photovoltaics,CHEMICAL RESEARCH IN CHINESE UNIVERSITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005-9040,2210-3171,,,,JUN,2020,36,3,,,,,366,376,,10.1007/s40242-020-0105-3,,MAY 2020,,,,,WOS:000536435000001,,,,,,
S,"Ardiani, NA; Suhendri; Koerniawan, MD; Budiarto, R",,"Lim, CW; Zhu, X",,"Ardiani, Nissa Aulia; Suhendri; Koerniawan, Mochamad Donny; Budiarto, Rachmawan",,,"Building Retrofit to Improve Energy Performance from Office to Accommodation. Case study: Tower Building, Nottingham, UK",2018 3RD INTERNATIONAL CONFERENCE ON CIVIL ENGINEERING AND MATERIALS SCIENCE (ICCEMS 2018),MATEC Web of Conferences,,,,3rd International Conference on Civil Engineering and Materials Science (ICCEMS),"APR 13-15, 2018","Chengdu, PEOPLES R CHINA",,,,,,,,,", Suhendri/AAR-8874-2021",", Suhendri/0000-0001-6042-2051; Ardiani, Nissa Aulia/0000-0001-9688-8726; Koerniawan, Donny/0000-0002-1566-9124",,,,,,,,,,,,2261-236X,,,,,,2018,206,,,,,,,,2010,10.1051/matecconf/201820602010,,,,,,,WOS:000450359900030,,,,,,
B,"Tan, CW; Green, TC; Hernandez-Aramburo, CA",,,IEEE,"Tan, Chee Wei; Green, Tim C.; Hernandez-Aramburo, Carlos A.",,,A current-mode controlled maximum power point tracking converter for building integrated photovoltaics,"2007 EUROPEAN CONFERENCE ON POWER ELECTRONICS AND APPLICATIONS, VOLS 1-10",,,,,12th European Conference on Power Electronics and Applications,"SEP 02-05, 2007","Aalborg, DENMARK",IEEE,,,,,,,,"TAN, CHEE WEI/H-5912-2011; Green, Tim/M-1165-2014","Green, Tim/0000-0003-3893-2439",,,,,,,,,,,,,,978-90-75815-11-5,,,,2007,,,,,,,1144,1153,,,,,,,,,WOS:000255993600126,,,,,,
J,"Baenas, T; Machado, M",,,,"Baenas, Tomas; Machado, Maider",,,Optical model for multilayer glazing systems: Application to laminated glass and photovoltaic modules,SOLAR ENERGY,,,,,,,,,,,,,,,,"Baenas, Tomas/I-2460-2015","Baenas, Tomas/0000-0001-8903-6402",,,,,,,,,,,,0038-092X,,,,,FEB,2016,125,,,,,,256,266,,10.1016/j.solener.2015.12.027,,,,,,,WOS:000370097600023,,,,,,
J,"Lopez, CPS; Lucchi, E; Leonardi, E; Durante, A; Schmidt, A; Curtis, R",,,,"Polo Lopez, Cristina S.; Lucchi, Elena; Leonardi, Eleonora; Durante, Antonello; Schmidt, Anne; Curtis, Roger",,,Risk-Benefit Assessment Scheme for Renewable Solar Solutions in Traditional and Historic Buildings,SUSTAINABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071-1050,,,,MAY,2021,13,9,,,,,,,5246,10.3390/su13095246,,,,,,,WOS:000650853800001,,,,,,
S,"Jois, S; Ramamritham, K; Agarwal, V",,,IEEE,"Jois, Santhosh; Ramamritham, Krithi; Agarwal, Vivek",,,Facade Solar PV Potential Estimation considering Rooftop Capacity and Building Code for Indian Cities,2020 47TH IEEE PHOTOVOLTAIC SPECIALISTS CONFERENCE (PVSC),IEEE Photovoltaic Specialists Conference,,,,47th IEEE Photovoltaic Specialists Conference (PVSC),"JUN 15-AUG 21, 2020",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,0160-8371,,978-1-7281-6115-0,,,,2020,,,,,,,408,411,,,,,,,,,WOS:000653077100102,,,,,,
J,"Ziasistani, N; Fazelpour, F",,,,"Ziasistani, Niloufar; Fazelpour, Farivar",,,"Comparative study of DSF, PV-DSF and PV-DSF/PCM building energy performance considering multiple parameters",SOLAR ENERGY,,,,,,,,,,,,,,,,"Ziasistani, Niloufar/S-3967-2019",,,,,,,,,,,,,0038-092X,,,,,JUL 15,2019,187,,,,,,115,128,,10.1016/j.solener.2019.05.040,,,,,,,WOS:000474327400011,,,,,,
B,"Wagner, A; Moller, LK; Leifgen, C; Ruppel, U",,"Karlshoj, J; Scherer, R",,"Wagner, A.; Moeller, L. K.; Leifgen, C.; Rueppel, U.",,,SolConPro: Describing multi-functional building products using semantic web technologies,"EWORK AND EBUSINESS IN ARCHITECTURE, ENGINEERING AND CONSTRUCTION",,,,,12th European Conference on Product and Process Modelling (ECPPM),"SEP 12-14, 2018","Copenhagen, DENMARK",,,,,,,,,,"Leifgen, Christian/0000-0003-0226-7385",,,,,,,,,,,,,,978-0-429-50621-5; 978-1-138-58413-6,,,,2018,,,,,,,447,455,,,,,,,,,WOS:000460971200056,,,,,,
S,"Generalova, E; Generalov, V",,"Murgul, V; Pasetti, M",,"Generalova, Elena; Generalov, Viktor",,,Building-Integrated Photovoltaics Technology for the Facades of High-Rise Buildings,"INTERNATIONAL SCIENTIFIC CONFERENCE ENERGY MANAGEMENT OF MUNICIPAL FACILITIES AND SUSTAINABLE ENERGY TECHNOLOGIES EMMFT 2018, VOL 2",Advances in Intelligent Systems and Computing,,,,20th Annual International Scientific Conference on Energy Management of Municipal Facilities and Sustainable Energy Technologies (EMMFT),"DEC 10-13, 2018","Voronezh State Tech Univ, Voronezh, RUSSIA",,Voronezh State Tech Univ,,,,,,,,,,,,,,,,,,,,2194-5357,2194-5365,978-3-030-19868-8; 978-3-030-19867-1,,,,2019,983,,,,,,768,777,,10.1007/978-3-030-19868-8_75,,,,,,,WOS:000622970800075,,,,,,
J,"Haghighi, Z; Dehnavi, MA; Konstantinou, T; van den Dobbelsteen, A; Klein, T",,,,"Haghighi, Zoheir; Dehnavi, Mahboubeh Angali; Konstantinou, Thaleia; van den Dobbelsteen, Andy; Klein, Tillmann",,,Architectural Photovoltaic Applications: Lessons Learnt and Perceptions from Architects,BUILDINGS,,,,,,,,,,,,,,,,,"Konstantinou, Thaleia/0000-0001-7085-312X; van den Dobbelsteen, Andy/0000-0002-2423-5694",,,,,,,,,,,,,2075-5309,,,,FEB,2021,11,2,,,,,,,62,10.3390/buildings11020062,,,,,,,WOS:000622292600001,,,,,,
S,"Zhang, WL; Lu, L; Chen, X",,"Yan, J; Sun, F; Chou, SK; Desideri, U; Li, H; Campana, P; Xiong, R",,"Zhang, Weilong; Lu, Lin; Chen, Xi",,,Performance evaluation of vacuum photovoltaic insulated glass unit,8TH INTERNATIONAL CONFERENCE ON APPLIED ENERGY (ICAE2016),Energy Procedia,,,,8th International Conference on Applied Energy (ICAE),"OCT 08-11, 2016","Beijing Inst Technol, Beijing, PEOPLES R CHINA","Appl Energy Innovat Inst, Malardalen UNiv, China Assoc Sci & Technologies, HOME Program, Sichuan Univ, Jiangsu Univ, China Univ Min & Technol, Tianjin Univ, Tongji Univ, SW Jiaotong Univ, Xian Jiaotong Univ, Collaborat Innovat Ctr Elect Vehicles Beijing, Technol Unnovat Local Scale Optimum Integrat Battery Energy Storage, BAIC, BJEV, YuTong, Shenwu Grp",Beijing Inst Technol,,,,,,,"CHEN, XI/AAL-9640-2021; CHEN, XI/P-2323-2014; Zhang, Weilong/A-1783-2017; Lu, Lin/D-6919-2013; Zhang, Weilong/F-9714-2018","CHEN, XI/0000-0003-2168-9057; CHEN, XI/0000-0003-2168-9057; Zhang, Weilong/0000-0002-8847-650X; Lu, Lin/0000-0002-4114-3468; Zhang, Weilong/0000-0002-8847-650X",,,,,,,,,,,,1876-6102,,,,,,2017,105,,,,,,322,326,,10.1016/j.egypro.2017.03.321,,,,,,,WOS:000404967900050,,,,,,
J,"Wang, M; Peng, JQ; Li, NP; Yang, HX; Wang, CL; Li, X; Lu, T",,,,"Wang, Meng; Peng, Jinqing; Li, Nianping; Yang, Hongxing; Wang, Chunlei; Li, Xue; Lu, Tao",,,Comparison of energy performance between PV double skin facades and PV insulating glass units,APPLIED ENERGY,,,,,,,,,,,,,,,,"Wang, Meng/AAL-7860-2021; Peng, Jinqing/B-9520-2019; Yang, Hongxing/E-5737-2014","Wang, Meng/0000-0001-8178-844X; Peng, Jinqing/0000-0003-4455-5908; Yang, Hongxing/0000-0001-5117-5394",,,,,,,,,,,,0306-2619,1872-9118,,,,MAY 15,2017,194,,,,,,148,160,,10.1016/j.apenergy.2017.03.019,,,,,,,WOS:000399623600012,,,,,,
J,"Bahr, W",,,,"Bahr, Wassim",,,A comprehensive assessment methodology of the building integrated photovoltaic blind system,ENERGY AND BUILDINGS,,,,,,,,,,,,,,,,,"Bahr, Wassim/0000-0002-8582-1021",,,,,,,,,,,,0378-7788,1872-6178,,,,OCT,2014,82,,,,,,703,708,,10.1016/j.enbuild.2014.07.065,,,,,,,WOS:000343781400068,,,,,,
J,"Jiang, Y; Qi, YB",,,,"Jiang, Yan; Qi, Yabing",,,Metal halide perovskite-based flexible tandem solar cells: next-generation flexible photovoltaic technology,MATERIALS CHEMISTRY FRONTIERS,,,,,,,,,,,,,,,,"Qi, Yabing/O-7807-2014","Qi, Yabing/0000-0002-4876-8049; Jiang, Yan/0000-0001-7665-1174",,,,,,,,,,,,,2052-1537,,,,JUL 7,2021,5,13,,,,,4833,4850,,10.1039/d1qm00279a,,APR 2021,,,,,WOS:000650217700001,,,,,,
J,"Zhang, WL; Lu, L; Peng, JQ",,,,"Zhang, Weilong; Lu, Lin; Peng, Jinqing",,,Evaluation of potential benefits of solar photovoltaic shadings in Hong Kong,ENERGY,,,,,"11th Conference on Sustainable Development of Energy, Water and Environment Systems (SDEWES)","SEP 04-09, 2016","Lisbon, PORTUGAL",,,,,,,,,"Lu, Lin/D-6919-2013; Zhang, Weilong/A-1783-2017; Zhang, Weilong/F-9714-2018; Peng, Jinqing/B-9520-2019","Lu, Lin/0000-0002-4114-3468; Zhang, Weilong/0000-0002-8847-650X; Zhang, Weilong/0000-0002-8847-650X; Peng, Jinqing/0000-0003-4455-5908",,,,,,,,,,,,0360-5442,1873-6785,,,,OCT 15,2017,137,,,,,,1152,1158,,10.1016/j.energy.2017.04.166,,,,,,,WOS:000414879400101,,,,,,
J,"Alnaser, NW",,,,"Alnaser, N. W.",,,Building integrated renewable energy to achieve zero emission in Bahrain,ENERGY AND BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0378-7788,1872-6178,,,,APR 15,2015,93,,,,,,32,39,,10.1016/j.enbuild.2015.01.022,,,,,,,WOS:000353086000004,,,,,,
J,"Chen, XM; Li, Y; Zhao, BY; Wang, RZ",,,,"Chen, X. M.; Li, Y.; Zhao, B. Y.; Wang, R. Z.",,,Are the optimum angles of photovoltaic systems so important?,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,,,,,,,,,,,,,,,,,"Zhao, Baiyang/0000-0002-3953-7716",,,,,,,,,,,,1364-0321,1879-0690,,,,MAY,2020,124,,,,,,,,109791,10.1016/j.rser.2020.109791,,,,,,,WOS:000521976000020,,,,,,
S,"Aste, N; Adhikari, RS; Del Pero, C; Leonforte, F",,"Yan, J; Sun, F; Chou, SK; Desideri, U; Li, H; Campana, P; Xiong, R",,"Aste, N.; Adhikari, R. S.; Del Pero, C.; Leonforte, F.",,,Multi-functional Integrated System for Energy Retrofit of Existing Buildings: A Solution Towards nZEB Standards,8TH INTERNATIONAL CONFERENCE ON APPLIED ENERGY (ICAE2016),Energy Procedia,,,,8th International Conference on Applied Energy (ICAE),"OCT 08-11, 2016","Beijing Inst Technol, Beijing, PEOPLES R CHINA","Appl Energy Innovat Inst, Malardalen UNiv, China Assoc Sci & Technologies, HOME Program, Sichuan Univ, Jiangsu Univ, China Univ Min & Technol, Tianjin Univ, Tongji Univ, SW Jiaotong Univ, Xian Jiaotong Univ, Collaborat Innovat Ctr Elect Vehicles Beijing, Technol Unnovat Local Scale Optimum Integrat Battery Energy Storage, BAIC, BJEV, YuTong, Shenwu Grp",Beijing Inst Technol,,,,,,,"Adhikari, Rajendra S/M-4752-2015","Adhikari, Rajendra S/0000-0001-9022-5833",,,,,,,,,,,,1876-6102,,,,,,2017,105,,,,,,2811,2817,,10.1016/j.egypro.2017.03.608,,,,,,,WOS:000404967902142,,,,,,
B,"Guragain, M; Rapolu, K; Singh, P",,,ASME,"Guragain, Mandeep; Rapolu, Kalyan; Singh, Pritpal",,,Design and analysis of urban building integrated photovoltaic system simulation software,PROCEEDINGS OF THE ENERGY SUSTAINABILITY CONFERENCE 2007,,,,,ASME Energy Sustainability Conference,"JUN 27-30, 2007","Long Beach, CA","ASME, Adv Energy Syst, ASME, Solar Energy Div",,,,,,,,,,,,,,,,,,,,,,,978-0-7918-4797-8,,,,2007,,,,,,,597,606,,,,,,,,,WOS:000254287400068,,,,,,
J,"Tai, QD; Zhao, XZ",,,,"Tai, Qidong; Zhao, Xing-Zhong",,,Pt-free transparent counter electrodes for cost-effective bifacial dye-sensitized solar cells,JOURNAL OF MATERIALS CHEMISTRY A,,,,,,,,,,,,,,,,"Zhao, Xing-Zhong/A-8671-2011",,,,,,,,,,,,,2050-7488,2050-7496,,,,SEP 7,2014,2,33,,,,,13207,13218,,10.1039/c4ta01404a,,,,,,,WOS:000340514500002,,,,,,
J,"van Roosmalen, M; Herrmann, A; Kumar, A",,,,"van Roosmalen, Maartje; Herrmann, Anna; Kumar, Akash",,,A review of prefabricated self-sufficient facades with integrated decentralised HVAC and renewable energy generation and storage,ENERGY AND BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0378-7788,1872-6178,,,,OCT 1,2021,248,,,,,,,,111107,10.1016/j.enbuild.2021.111107,,,,,,,WOS:000671944600009,,,,,,
J,"Huang, WF; Zhou, K; Sun, K; He, Z",,,,"Huang, Wenfeng; Zhou, Kun; Sun, Ke; He, Zhu",,,"Effects of wind flow structure, particle flow and deposition pattern on photovoltaic energy harvest around a block",APPLIED ENERGY,,,,,10th International Conference on Applied Energy (ICAE),"AUG 22-25, 2018","Hong Kong, HONG KONG","Appl Energy Innovat Inst, Malardalen Univ, Future Energy Ctr, Elsevier, Solar Energy Soc Hong Kong, CSEE Journal Power & Energy Syst, UNiLAB",,,,,,,,,"He, Zhu/0000-0003-3675-9441",,,,,,,,,,,,0306-2619,1872-9118,,,,NOV 1,2019,253,,,,,,,,113523,10.1016/j.apenergy.2019.113523,,,,,,,WOS:000497971400039,,,,,,
S,"Alpuerto, LG; Balog, RS",,,IEEE,"Alpuerto, Lance G.; Balog, Robert S.",,,Methodology for Designing an Optimal Connection Scheme for Applications of Non-Planar Photovoltaics,2020 47TH IEEE PHOTOVOLTAIC SPECIALISTS CONFERENCE (PVSC),IEEE Photovoltaic Specialists Conference,,,,47th IEEE Photovoltaic Specialists Conference (PVSC),"JUN 15-AUG 21, 2020",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,0160-8371,,978-1-7281-6115-0,,,,2020,,,,,,,2418,2423,,,,,,,,,WOS:000653077100577,,,,,,
J,"Yun, GY; McEvoy, M; Steemers, K",,,,"Yun, Geun Young; McEvoy, Mike; Steemers, Koen",,,Design and overall energy performance of a ventilated photovoltaic facade,SOLAR ENERGY,,,,,,,,,,,,,,,,"Yun, Geun Young/C-3843-2012","Yun, Geun Young/0000-0002-9868-8776",,,,,,,,,,,,0038-092X,,,,,,2007,81,3,,,,,383,394,,10.1016/j.solener.2006.06.016,,,,,,,WOS:000245616600008,,,,,,
J,"Fathabadi, H",,,,"Fathabadi, Hassan",,,Increasing energy efficiency of PV-converter-battery section of standalone building integrated photovoltaic systems,ENERGY AND BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0378-7788,1872-6178,,,,AUG 15,2015,101,,,,,,1,11,,10.1016/j.enbuild.2015.04.024,,,,,,,WOS:000357238100001,,,,,,
J,"Saw, MH; Singh, JP; Wang, Y; Birgersson, KE; Khoo, YS",,,,"Saw, Min Hsian; Singh, Jai Prakash; Wang, Yan; Birgersson, Karl Erik; Khoo, Yong Sheng",,,Electrical Performance Study of Colored c-Si Building-Integrated PV Modules,IEEE JOURNAL OF PHOTOVOLTAICS,,,,,,,,,,,,,,,,,"Singh, Jai Prakash/0000-0002-4866-9040",,,,,,,,,,,,2156-3381,2156-3403,,,,JUL,2020,10,4,,,,,1027,1034,,10.1109/JPHOTOV.2020.2981820,,,,,,,WOS:000542594700016,,,,,,
J,"Baek, S; Ha, SJ; Lee, H; Kim, K; Kim, D; Moon, JH",,,,"Baek, Sujin; Ha, Su-Jin; Lee, Heechul; Kim, Kiwon; Kim, Dongchoul; Moon, Jun Hyuk",,,Monolithic Two-Dimensional Photonic Crystal Reflectors for the Fabrication of Highly Efficient and Highly Transparent Dye-Sensitized Solar Cells,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,,,,,"Moon, Jun Hyuk/I-6282-2013","Moon, Jun Hyuk/0000-0002-4776-3115",,,,,,,,,,,,1944-8244,1944-8252,,,,OCT 25,2017,9,42,,,,,37006,37012,,10.1021/acsami.7b09885,,,,,,,WOS:000414115700056,29022691,,,,,
B,"Frontini, F; Marzoli, M; Doust, N",,"Baratieri, M; Corrado, V; Gasparella, A; Patuzzi, F",,"Frontini, Francesco; Marzoli, Matteo; Doust, Narghes",,,Investigation of different simulation tools for solar photovoltaic modules,BUILDING SIMULATION APPLICATIONS (BSA 2013),,,,,1st IBPSA Italy Conference,"JAN 30-FEB 01, 2013","Free Univ Bozen Bolzano, Bozen Bolzano, ITALY",IBPSA,Free Univ Bozen Bolzano,,,,,,,,,,,,,,,,,,,,,,978-88-6046-058-5,,,,2013,,,,,,,89,94,,,,,,,,,WOS:000396444500010,,,,,,
S,"Zhang, WJ; Hao, B; Li, NP; Liu, S; Yao, CN",,"Haberle, A",,Zhang Wenjie; Hao Bin; Li Nianping; Liu Shan; Yao Chunni,,,Investigation on photovoltaic application in buildings in China,"INTERNATIONAL CONFERENCE ON SOLAR HEATING AND COOLING FOR BUILDINGS AND INDUSTRY, SHC 2014",Energy Procedia,,,,3rd International Conference on Solar Heating and Cooling for Buildings and Industry (SHC),"OCT 13-15, 2014","China Acad Bldg Res, Beijing, PEOPLES R CHINA",Projects Solar Energy AG,China Acad Bldg Res,,,,,,,,,,,,,,,,,,,,1876-6102,,,,,,2015,70,,,,,,673,682,,10.1016/j.egypro.2015.02.175,,,,,,,WOS:000358196500084,,,,,,
S,"Banguero, E; Aristizabal, AJ; Habib, A; Ospina, D",,"Salame, CT; Aillerie, M; Papageorgas, P; Perilhon, C; Haider, A; Vokas, G; Shaban, A; Jabur, A",,"Banguero, Edison; Julian Aristizabal, Andres; Habib, Arslan; Ospina, Daniel",,,"Experimental investigation and optimal power flow modelling of the first renewable microgrid in Choco, Colombia","TECHNOLOGIES AND MATERIALS FOR RENEWABLE ENERGY, ENVIRONMENT AND SUSTAINABILITY (TMREES)",Energy Procedia,,,,"International Conference on Technologies and Materials for Renewable Energy, Environment and Sustainability (TMREES)","SEP 19-21, 2018","Athens, GREECE",,,,,,,,,", Habib/M-4727-2018; Aristizabal, Andres Julian/L-3737-2013",", Habib/0000-0001-8932-5810; Aristizabal, Andres Julian/0000-0003-4631-2715; Banguero Palacios, Edison/0000-0003-0944-4196",,,,,,,,,,,,1876-6102,,,,,,2019,157,,,,,,953,965,,10.1016/j.egypro.2018.11.262,,,,,,,WOS:000470998600105,,,,,,
J,"Young, CH; Chen, YL; Chen, PC",,,,"Young, Chin-Huai; Chen, Yi-Lin; Chen, Po-Chun",,,Heat insulation solar glass and application on energy efficiency buildings,ENERGY AND BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0378-7788,1872-6178,,,,AUG,2014,78,,,,,,66,78,,10.1016/j.enbuild.2014.04.012,,,,,,,WOS:000339133200009,,,,,,
J,"Tatabhatla, VMR; Agarwal, A; Kanumuri, T",,,,"Tatabhatla, Venkata Madhava Ram; Agarwal, Anshul; Kanumuri, Tirupathiraju",,,Improved power generation by dispersing the uniform and non-uniform partial shades in solar photovoltaic array,ENERGY CONVERSION AND MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0196-8904,1879-2227,,,,OCT 1,2019,197,,,,,,,,111825,10.1016/j.enconman.2019.111825,,,,,,,WOS:000487165700009,,,,,,
